"date,""price ($)"""
"2020-02-01,""8451.928866"""
"2020-02-02,""8456.966022"""
"2020-02-03,""8443.476878"""
"2020-02-04,""8317.431432"""
"2020-02-05,""8628.21152"""
"2020-02-06,""8847.853365"""
"2020-02-07,""8935.070379"""
"2020-02-08,""8986.025105"""
"2020-02-09,""9217.867623"""
"2020-02-10,""9047.430421"""
"2020-02-11,""9224.210897"""
"2020-02-12,""9468.505649"""
"2020-02-13,""9447.945447"""
"2020-02-14,""9433.15334"""
"2020-02-15,""9248.118196"""
"2020-02-16,""9041.531106"""
"2020-02-17,""8914.485964"""
"2020-02-18,""9125.135553"""
"2020-02-19,""9201.916674"""
"2020-02-20,""8861.853508"""
